City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Balikpapan,ID,-1.2675,116.8289,85.19,74,20,4.61,few clouds
226,Hay River,CA,60.8156,-115.7999,40.91,83,6,4.25,clear sky
227,Imbituba,BR,-28.24,-48.6703,66.81,92,7,7.2,clear sky
228,Senno,RU,59.5336,33.9167,45.27,98,100,7.52,overcast clouds
229,Ambon,ID,-3.6954,128.1814,80.74,89,75,6.91,broken clouds
230,Farias Brito,BR,-6.9306,-39.5656,72.43,74,17,5.21,few clouds
231,Clovis,US,36.8252,-119.7029,79.68,53,75,0.0,smoke
232,Novosergiyevka,RU,52.0934,53.6528,54.97,61,100,9.89,overcast clouds
233,Saint-Philippe,RE,-21.3585,55.7679,80.22,81,63,14.54,light rain
234,Praia,CV,14.9215,-23.5087,77.58,78,61,8.59,broken clouds
235,Zagora,MA,30.3484,-5.8365,76.53,24,4,0.54,clear sky
236,Port Elizabeth,ZA,-33.918,25.5701,64.09,74,21,6.6,few clouds
237,Saint George,US,37.1041,-113.5841,79.95,32,58,1.01,broken clouds
238,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,94,100,5.08,overcast clouds
239,Chapais,CA,49.7834,-74.8492,53.06,77,100,9.82,overcast clouds
240,Kavaratti,IN,10.5669,72.642,81.32,80,100,15.01,light rain
241,Syracuse,IT,37.0881,15.2792,75.25,79,7,3.74,clear sky
242,Cockburn Town,TC,21.4612,-71.1419,82.44,75,3,7.07,clear sky
243,Ahipara,NZ,-35.1667,173.1667,56.26,87,98,10.45,overcast clouds
244,Leningradskiy,RU,69.3833,178.4167,27.73,82,100,6.78,overcast clouds
245,Constitucion,CL,-35.3333,-72.4167,48.67,91,0,7.72,clear sky
246,Currais Novos,BR,-6.2608,-36.5178,70.57,86,34,17.54,scattered clouds
247,Iranshahr,IR,27.2025,60.6848,93.74,29,6,2.08,clear sky
248,Portland,US,45.5234,-122.6762,65.75,75,1,1.99,clear sky
249,Bahia Honda,CU,22.9036,-83.1592,77.86,84,35,3.29,scattered clouds
250,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,5.75,light rain
251,Faya,SA,18.3851,42.4509,73.92,16,20,9.64,few clouds
252,Hambantota,LK,6.1241,81.1185,84.54,84,40,14.97,scattered clouds
253,Cherskiy,RU,68.75,161.3,33.48,90,100,9.98,overcast clouds
254,Aktas,KZ,49.7789,72.9608,58.75,23,89,12.33,overcast clouds
255,Srednekolymsk,RU,67.45,153.6833,36.1,81,100,13.96,overcast clouds
256,Buin,CL,-33.7333,-70.75,57.74,87,2,3.04,clear sky
257,Wodonga,AU,-36.1167,146.8833,62.96,53,0,5.08,clear sky
258,Belaya Gora,RU,68.5333,146.4167,36.86,76,100,16.15,overcast clouds
259,Tavares,US,28.8042,-81.7256,75.34,87,1,4.61,clear sky
260,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,27.63,overcast clouds
261,Lamballe,FR,48.4676,-2.5144,61.74,96,56,6.38,broken clouds
262,Lorengau,PG,-2.0226,147.2712,83.8,76,43,5.97,scattered clouds
263,Poso,ID,-1.3959,120.7524,83.25,79,79,4.79,broken clouds
264,Kalabo,ZM,-14.97,22.6814,73.87,26,0,9.35,clear sky
265,Sao Filipe,CV,14.8961,-24.4956,77.74,75,51,8.21,broken clouds
266,Vanderhoof,CA,54.0166,-124.0198,48.33,98,100,2.59,overcast clouds
267,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.23,65,0,6.02,clear sky
268,Orangeburg,US,33.4918,-80.8557,60.57,93,1,0.0,clear sky
269,Ribeira Grande,PT,38.5167,-28.7,70.56,86,91,11.74,overcast clouds
270,Yumen,CN,40.2833,97.2,68.29,22,0,7.18,clear sky
271,Smolenka,RU,52.1352,113.4974,51.87,50,40,15.66,scattered clouds
272,Buchanan,LR,5.8808,-10.0467,75.16,94,100,6.67,moderate rain
273,Castro,BR,-24.7911,-50.0119,57.07,94,57,4.47,broken clouds
274,Nizwa,OM,22.9333,57.5333,94.78,24,100,3.49,overcast clouds
275,Bokino,RU,52.6374,41.4597,50.09,95,100,8.14,moderate rain
276,Sukhothai,TH,17.25,99.6667,74.23,95,100,7.67,moderate rain
277,Makakilo City,US,21.3469,-158.0858,76.57,86,90,0.0,light rain
278,Redcar,GB,54.6166,-1.06,60.35,94,90,4.0,overcast clouds
279,Gat,IL,31.61,34.7642,82.9,37,0,1.57,clear sky
280,Helong,CN,42.5397,128.9972,70.81,62,71,3.09,broken clouds
281,Maamba,ZM,-17.3667,27.15,76.17,31,0,8.57,clear sky
282,Naze,JP,28.3667,129.4833,79.61,79,54,12.28,broken clouds
283,Neiafu,TO,-18.65,-173.9833,74.08,64,75,2.3,broken clouds
284,Omsukchan,RU,62.5333,155.8,35.19,65,100,9.95,overcast clouds
285,Stykkisholmur,IS,65.0757,-22.7297,39.92,96,100,39.77,overcast clouds
286,Itaborai,BR,-22.7444,-42.8594,70.52,93,74,2.35,broken clouds
287,Maposeni,TZ,-10.5833,35.4,73.08,47,1,6.44,clear sky
288,Pori,FI,61.4833,21.7833,44.67,93,0,4.61,clear sky
289,Aden,YE,12.7794,45.0367,86.7,67,79,8.48,broken clouds
290,Banda Aceh,ID,5.5577,95.3222,83.64,72,98,16.75,moderate rain
291,Katsuura,JP,35.1333,140.3,73.11,62,98,13.33,light rain
292,Vardo,NO,70.3705,31.1107,46.35,88,95,4.68,overcast clouds
293,Mount Gambier,AU,-37.8333,140.7667,58.24,50,10,7.81,clear sky
294,Mahibadhoo,MV,3.7833,72.9667,79.88,84,100,21.09,moderate rain
295,Dubbo,AU,-32.25,148.6167,68.13,40,75,14.97,broken clouds
296,Mosquera,CO,4.7059,-74.2302,51.89,82,75,3.44,broken clouds
297,Salinopolis,BR,-0.6136,-47.3561,77.94,86,95,9.08,overcast clouds
298,Fairbanks,US,64.8378,-147.7164,31.6,92,100,1.34,overcast clouds
299,Huarmey,PE,-10.0681,-78.1522,63.07,88,61,7.56,broken clouds
300,Codrington,AU,-38.2667,141.9667,53.98,65,52,12.33,broken clouds
301,Baruun-Urt,MN,46.6806,113.2792,62.19,29,67,21.61,broken clouds
302,Pedernales,DO,18.0384,-71.744,80.02,80,80,3.49,broken clouds
303,Veraval,IN,20.9,70.3667,82.76,74,91,9.26,overcast clouds
304,Tigzirt,DZ,36.8886,4.1198,74.39,88,94,6.22,overcast clouds
305,Oranjemund,NA,-28.55,16.4333,59.13,67,14,7.61,few clouds
306,Nizhnyaya Tavda,RU,57.6731,66.1725,41.56,54,92,11.14,overcast clouds
307,San Cristobal,VE,7.7669,-72.225,64.42,96,68,3.36,broken clouds
308,Fort Nelson,CA,58.8053,-122.7002,45.32,68,99,1.88,overcast clouds
309,Zhezkazgan,KZ,47.8043,67.7144,63.68,13,85,15.9,overcast clouds
310,Pochutla,MX,15.7432,-96.4661,75.81,92,97,4.32,overcast clouds
311,Espanola,US,35.9911,-106.0806,62.6,64,91,3.74,overcast clouds
312,Yeppoon,AU,-23.1333,150.7333,85.78,59,0,12.5,clear sky
313,Oparino,RU,59.8518,48.2783,43.99,94,100,6.11,overcast clouds
314,Bathsheba,BB,13.2167,-59.5167,81.64,75,6,6.38,clear sky
315,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,80,75,9.22,broken clouds
316,Mahon,ES,39.8885,4.2658,73.96,100,75,4.61,broken clouds
317,Maniitsoq,GL,65.4167,-52.9,30.49,54,0,4.52,clear sky
318,Chiredzi,ZW,-21.05,31.6667,75.02,36,0,3.29,clear sky
319,Porkhov,RU,57.765,29.5561,48.09,88,100,10.33,overcast clouds
320,Walvis Bay,NA,-22.9575,14.5053,54.09,84,2,3.0,clear sky
321,Masallatah,LY,32.6167,14.0,69.04,71,0,12.62,clear sky
322,Haines Junction,CA,60.7522,-137.5108,32.72,87,100,1.48,overcast clouds
323,Aklavik,CA,68.2191,-135.0107,32.72,92,100,13.62,light snow
324,Mapiri,BO,-15.25,-68.1667,70.14,70,86,2.04,overcast clouds
325,Sinnamary,GF,5.3833,-52.95,78.51,86,44,9.17,scattered clouds
326,La Joya,MX,18.6667,-99.4667,69.39,93,92,4.25,overcast clouds
327,Tasiilaq,GL,65.6145,-37.6368,37.56,58,94,5.17,overcast clouds
328,Suicheng,CN,33.8963,117.9331,83.01,60,69,8.63,broken clouds
329,Paraiso,CR,9.8383,-83.8656,67.87,80,100,2.68,overcast clouds
330,Shafranovo,RU,53.9667,54.7667,54.48,55,100,1.23,overcast clouds
331,Zhenhai,CN,24.2582,118.0905,82.44,63,0,15.93,clear sky
332,Mayo,US,38.8876,-76.5119,66.15,82,1,1.99,clear sky
333,Vernon,CA,50.2581,-119.2691,68.29,57,100,1.01,overcast clouds
334,Aykhal,RU,66.0,111.5,39.09,50,6,15.57,clear sky
335,Goias,BR,-15.5807,-49.6362,73.65,67,44,4.38,light rain
336,Bafq,IR,31.6128,55.4107,90.28,9,0,2.06,clear sky
337,Mundo Nuevo,MX,18.7,-95.5,79.81,73,55,8.16,broken clouds
338,Shiojiri,JP,36.1,137.9667,61.32,90,100,3.04,overcast clouds
339,Paita,PE,-5.0892,-81.1144,64.33,86,94,10.09,overcast clouds
340,Eirunepe,BR,-6.6603,-69.8736,71.24,99,85,2.19,overcast clouds
341,Frankfort,ZA,-27.2667,28.4833,69.42,26,8,2.59,clear sky
342,Ridgecrest,US,35.6225,-117.6709,80.65,29,1,1.01,clear sky
343,Posse,BR,-14.0931,-46.3694,69.98,69,99,3.06,overcast clouds
344,Inhambane,MZ,-23.865,35.3833,76.32,67,0,5.1,clear sky
