City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Sistranda,NO,2021-09-25 14:56:32,63.7256,8.834,49.96,78,89,19.57
252,Ziro,IN,2021-09-25 14:56:32,27.6333,93.8333,65.14,94,25,2.1
253,Husavik,IS,2021-09-25 14:56:32,66.0449,-17.3389,39.11,94,100,10.13
254,Kaihua,CN,2021-09-25 14:56:33,23.3687,104.28,63.37,97,18,4.16
255,Jiujiang,CN,2021-09-25 14:56:33,29.7333,115.9833,83.57,65,99,2.37
256,Provideniya,RU,2021-09-25 14:56:33,64.3833,-173.3,30.61,83,100,8.75
257,Tiruchchirappalli,IN,2021-09-25 14:56:33,10.8167,78.6833,87.91,58,75,5.75
258,Tuatapere,NZ,2021-09-25 14:56:34,-46.1333,167.6833,39.81,86,94,8.1
259,Saskylakh,RU,2021-09-25 14:56:34,71.9167,114.0833,29.98,92,87,15.28
260,Dunedin,NZ,2021-09-25 14:56:34,-45.8742,170.5036,45.81,64,69,13.67
261,Ust-Nera,RU,2021-09-25 14:56:34,64.5667,143.2,38.68,98,100,4.74
262,Nardo,IT,2021-09-25 14:56:35,40.1751,18.0297,82.47,35,0,1.59
263,Souillac,MU,2021-09-25 14:56:35,-20.5167,57.5167,72.36,78,40,13.8
264,Sorland,NO,2021-09-25 14:56:35,67.667,12.6934,49.21,69,91,17.27
265,Tres Lagoas,BR,2021-09-25 14:56:35,-20.7511,-51.6783,100.08,17,4,1.86
266,Ponta Do Sol,PT,2021-09-25 14:54:39,32.6667,-17.1,77.63,58,93,1.7
267,Cayenne,GF,2021-09-25 14:56:35,4.9333,-52.3333,89.64,72,75,1.99
268,Esperance,AU,2021-09-25 14:54:55,-33.8667,121.9,53.44,77,100,21.88
269,Ugoofaaru,MV,2021-09-25 14:56:36,5.6667,73.0,82.63,81,98,21.39
270,Marzuq,YE,2021-09-25 14:56:36,14.4,46.4667,84.49,32,8,5.95
271,Hobyo,SO,2021-09-25 14:56:36,5.3505,48.5268,78.8,80,64,21.36
272,Pacific Grove,US,2021-09-25 14:56:36,36.6177,-121.9166,63.16,94,90,1.99
